UTC,Dp,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
31/12/2006 1:00,9.3,50,16,934.6,1009,1012.4,1012.6,0,32.1,9,657,25.4,28.7,28.1,26,13,27.44
31/12/2006 1:10,9.4,52,21,934.7,1008.9,1012.3,1012.5,0,30.6,9,675,25.5,28.7,28.1,26,13,28.29
31/12/2006 1:20,9.5,52,16,934.8,1008.8,1012.2,1012.4,0,30.7,11,701,25.6,28.6,28.1,26,17,28.51
31/12/2006 1:30,9,61,16,935,1008.7,1012.1,1012.3,0,29.3,10,752,25.8,28.6,28,26,16,28.72
31/12/2006 1:40,9.2,55,18,935.1,1008.6,1011.9,1012.2,0,28.6,10,774,25.9,28.5,28.1,26,17,29.33
31/12/2006 1:50,9.6,50,19,935.3,1008.5,1011.8,1012.1,0,28.3,9,819,26.1,28.5,28,26,15,29.94
31/12/2006 2:00,9.5,62,19,935.4,1008.5,1011.8,1012.1,0,28,9,830,26.3,28.5,28.1,26,15,30.1
31/12/2006 2:10,9.6,52,17,935.6,1008.3,1011.6,1011.9,0,27.3,9,869,26.5,28.4,28,26,13,30.59
31/12/2006 2:20,10.1,48,17,935.7,1008.3,1011.6,1011.9,0,27.3,9,885,26.7,28.4,28,26,14,31.14
31/12/2006 2:30,10.2,43,20,935.9,1008.2,1011.5,1011.8,0,26.5,9,909,27,28.4,28.1,26,15,31.79
31/12/2006 2:40,9.5,54,19,936.1,1008.2,1011.5,1011.8,0,25.1,8,936,27.2,28.3,28,26,11,32
31/12/2006 2:50,9.3,32,39,936.2,1008,1011.3,1011.6,0,24.3,8,951,27.5,28.3,28,26,12,32.34
31/12/2006 3:00,9.6,30,33,936.4,1008,1011.3,1011.6,0,24.1,8,980,27.8,28.3,28,26,12,32.81
31/12/2006 3:10,9,34,26,936.6,1008,1011.3,1011.6,0,22.5,7,989,28,28.2,28,26,11,33.31
31/12/2006 3:20,8.9,30,27,936.8,1008,1011.3,1011.6,0,22.5,7,1008,28.4,28.2,28,26,11,33.14
31/12/2006 3:30,8.5,14,38,937,1007.8,1011.1,1011.4,0,21.9,6,995,28.7,28.2,28,26,10,33.33
31/12/2006 3:40,8.5,49,30,937.2,1007.6,1010.9,1011.2,0,21.2,6,1032,29,28.2,28,26,12,33.81
31/12/2006 3:50,8.5,15,24,937.3,1007.5,1010.8,1011.1,0,20,6,1027,29.4,28.1,28,26,12,34.79
31/12/2006 4:00,7.5,13,29,937.5,1007.5,1010.8,1011.1,0,18.8,6,1041,29.7,28.1,28,26,10,34.71
31/12/2006 4:10,6.5,57,30,937.7,1007.3,1010.6,1010.9,0,17.1,6,1046,30.1,28.1,28,26,8,35.29
31/12/2006 4:20,5.5,44,40,937.9,1007.3,1010.6,1010.9,0,16.3,5,1055,30.5,28.1,28,26,8,34.77
31/12/2006 4:30,6.6,354,82,938.1,1007,1010.3,1010.6,0,17.1,4,1054,30.8,28.1,28,26,6,35.41
31/12/2006 4:40,6.1,38,34,938.3,1007,1010.3,1010.6,0,17,6,1065,31.2,28.1,28,26,9,34.83
